"fxID","game_pk","UmpName","umpBirthYear","umpDebut","permContract","date"
427013,348079,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,413689,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,317864,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,380906,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447691,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,233885,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,446993,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,382234,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414554,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244522,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,234125,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,381266,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,287697,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318455,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415187,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,347353,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,264235,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415584,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,382349,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415991,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447635,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,319998,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,381717,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,263928,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,246135,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245000,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,448891,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,448612,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,447934,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245229,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245125,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,415383,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414624,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,264771,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,319004,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,264293,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,347731,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,347314,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,286971,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,449020,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265339,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414111,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265450,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,320133,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244591,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,234007,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,449292,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,245177,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,265824,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,246545,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318632,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,246335,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,414168,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,244655,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318565,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,318276,"Lance Barksdale",1967,2000,2007,"Preseason"
427013,287025,"Lance Barksdale",1967,2000,2007,"Preseason"
